RGIId,REGION,O2Region,CenLon,CenLat,Area,WGMS_ID,N_gla_anom_used,ID_gla_anom_used,min_dist_gla_anom,max_dist_gla_anom,mean_dist_gla_anom,period_reg_obs,N_gla_anom_neighbour_reg,ID_gla_anom_neighbour_reg,period_neighbour_reg_obs,N_geo_obs,period_geo_obs
RGI60-17.00086,SAN,1,-73.1545,-50.8267,0.093,69952.0,1.0,[2000],543.2,543.2,543.2,2001-2023,1.0,['1344'],1976-2001,1.0,['1999.92 - 2019.92']
RGI60-17.00087,SAN,1,-73.1703,-50.8285,0.095,27174.0,1.0,[2000],543.7,543.7,543.7,2001-2023,1.0,['1344'],1976-2001,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00088,SAN,1,-73.1732,-50.8318,0.097,27175.0,1.0,[2000],543.5,543.5,543.5,2001-2023,1.0,['1344'],1976-2001,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00089,SAN,1,-73.1569,-50.8325,0.347,69953.0,1.0,[2000],542.8,542.8,542.8,2001-2023,1.0,['1344'],1976-2001,1.0,['1999.92 - 2019.92']
RGI60-17.00090,SAN,1,-73.1751,-50.8455,3.94,27176.0,1.0,[2000],542.3,542.3,542.3,2001-2023,1.0,['1344'],1976-2001,1.0,['1999.92 - 2019.92']
RGI60-17.00091,SAN,1,-73.1482,-50.8389,0.312,35663.0,1.0,[2000],541.9,541.9,541.9,2001-2023,1.0,['1344'],1976-2001,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00092,SAN,1,-73.1601,-50.8394,0.106,27177.0,1.0,[2000],542.3,542.3,542.3,2001-2023,1.0,['1344'],1976-2001,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00093,SAN,1,-73.1478,-50.8457,0.113,35664.0,1.0,[2000],541.2,541.2,541.2,2001-2023,1.0,['1344'],1976-2001,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00094,SAN,1,-73.2486,-50.8564,0.095,27178.0,1.0,[2000],544.3,544.3,544.3,2001-2023,1.0,['1344'],1976-2001,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00095,SAN,1,-73.2477,-50.8683,1.485,27179.0,1.0,[2000],543.1,543.1,543.1,2001-2023,1.0,['1344'],1976-2001,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00096,SAN,1,-73.2485,-50.8778,0.192,35665.0,1.0,[2000],542.3,542.3,542.3,2001-2023,1.0,['1344'],1976-2001,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00097,SAN,1,-73.236,-50.8834,0.603,35666.0,1.0,[2000],541.3,541.3,541.3,2001-2023,1.0,['1344'],1976-2001,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00098,SAN,1,-73.2478,-50.8829,0.064,69954.0,1.0,[2000],541.8,541.8,541.8,2001-2023,1.0,['1344'],1976-2001,1.0,['1999.92 - 2019.92']
RGI60-17.00099,SAN,1,-73.1837,-50.8878,0.14,69955.0,1.0,[2000],538.8,538.8,538.8,2001-2023,1.0,['1344'],1976-2001,1.0,['1999.92 - 2019.92']
RGI60-17.00100,SAN,1,-73.1352,-50.8856,0.057,35667.0,1.0,[2000],537.1,537.1,537.1,2001-2023,1.0,['1344'],1976-2001,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
