RGIId,REGION,O2Region,CenLon,CenLat,Area,WGMS_ID,N_gla_anom_used,ID_gla_anom_used,min_dist_gla_anom,max_dist_gla_anom,mean_dist_gla_anom,period_reg_obs,N_gla_anom_neighbour_reg,ID_gla_anom_neighbour_reg,period_neighbour_reg_obs,N_geo_obs,period_geo_obs
RGI60-17.00001,SAN,2,-70.2602,-34.4356,0.888,35608.0,1.0,[1344],96.3,96.3,96.3,1976-2023,N/A,N/A,N/A,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00002,SAN,2,-70.2315,-34.4453,0.077,35609.0,1.0,[1344],97.0,97.0,97.0,1976-2023,N/A,N/A,N/A,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00003,SAN,2,-69.9941,-34.472,0.028,35610.0,1.0,[1344],100.4,100.4,100.4,1976-2023,N/A,N/A,N/A,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00004,SAN,2,-70.3635,-34.4988,0.094,35611.0,1.0,[1344],104.7,104.7,104.7,1976-2023,N/A,N/A,N/A,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00005,SAN,2,-70.3407,-34.5327,0.058,35612.0,1.0,[1344],108.0,108.0,108.0,1976-2023,N/A,N/A,N/A,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00006,SAN,2,-70.2559,-34.5609,0.036,35613.0,1.0,[1344],110.1,110.1,110.1,1976-2023,N/A,N/A,N/A,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00007,SAN,2,-70.2698,-34.5783,0.053,35614.0,1.0,[1344],112.1,112.1,112.1,1976-2023,N/A,N/A,N/A,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00008,SAN,2,-70.3739,-34.581,0.241,35615.0,1.0,[1344],113.9,113.9,113.9,1976-2023,N/A,N/A,N/A,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00009,SAN,2,-70.2728,-34.5863,0.158,35616.0,1.0,[1344],113.0,113.0,113.0,1976-2023,N/A,N/A,N/A,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00010,SAN,2,-70.2699,-34.5824,0.011,35617.0,1.0,[1344],112.6,112.6,112.6,1976-2023,N/A,N/A,N/A,1.0,['2000.17 - 2018.25']
